user_id,name,age,email,address,device_type,listening_time,subscription_type,subscription_category
1,Daniel Davila,44,wfoster@example.com,"97931 Douglas Spring, East Robert, VT 75134",Tablet,7872,Premium,3 Month
2,Kimberly Bennett,26,beckerpaul@example.org,"712 Knight Camp, South Kathryntown, MO 17204",Tablet,4798,Free,Monthly
3,Antonio Martinez,44,veronicareyes@example.net,"7647 Valerie Street Apt. 898, Lake Elizabeth, AK 44830",Desktop,5498,Family,3 Month
4,Nancy Taylor,28,paul84@example.net,"2141 Mary Flat Suite 522, Lake Kendra, NE 86452",Tablet,5230,Premium,Monthly
5,Corey Chen,44,cathy09@example.org,"69746 Rodriguez Parkway Apt. 343, West Christinaburgh, AR 59317",Desktop,3013,Premium,3 Month
6,Derek Cooley,28,ncantu@example.com,"USCGC Allen, FPO AE 92355",Tablet,5644,Free,Yearly
7,Crystal Wood,27,fmartinez@example.net,"USCGC Clark, FPO AE 30962",Tablet,9346,Family,Yearly
8,Eddie Ryan III,32,mary46@example.com,"2259 Barbara Valley, North Anaberg, GA 16548",Tablet,5845,Premium,3 Month
9,Jill Williams,44,amiller@example.net,"876 Ruiz Neck Apt. 258, West Sara, GU 54316",Desktop,5823,Free,Monthly
10,Natasha Anderson,33,chavezjerry@example.com,"131 Butler Courts Apt. 636, North Rhondabury, FL 53387",Mobile,5243,Family,Yearly
11,Sarah Salinas,57,fboyd@example.org,"26856 Margaret Port, Parkermouth, NH 48349",Tablet,9582,Free,3 Month
12,Bridget Robles,37,scarter@example.net,"29608 Ward Parkways Apt. 787, East Sara, FL 52125",Desktop,4117,Free,Monthly
13,Michael Porter,25,carpenterjason@example.org,"31157 Davis Shoal, Gregorystad, AZ 53552",Desktop,7227,Free,3 Month
14,Andrew Boone,44,jonesjo@example.org,"111 Young Island Suite 774, East Cynthia, ND 69540",Tablet,8834,Free,3 Month
15,Beth Christensen,60,charlessimon@example.org,"9606 Cohen Junctions, Underwoodmouth, AZ 61651",Mobile,1332,Free,Yearly
16,Adam Kelly,51,zsmith@example.org,"01256 Martin Estates Suite 952, Port Kevinbury, MI 97399",Desktop,108,Premium,Monthly
17,Juan Schneider,44,michellekline@example.com,"1634 Ellis Flats Suite 954, Port Nicholas, FM 52790",Tablet,1757,Premium,3 Month
18,Shannon Shah,44,anthony03@example.net,"004 Wise Crescent Apt. 237, Christopherland, AZ 35466",Desktop,4914,Premium,3 Month
19,John Conway,44,jestrada@example.com,"9042 Anthony Village Apt. 476, Port Stephen, AZ 98450",Mobile,1291,Premium,Yearly
